uniprot,disease_mesh
P18510,MESH:D006073
P18510,MESH:D009203
P18510,MESH:D000855
P18510,MESH:D007249
P18510,MESH:D012598
P18510,MESH:D003967
P18510,MESH:D001284
P18510,MESH:D005334
P18510,MESH:D009361
P18510,MESH:D019873
P18510,MESH:D001172
P18510,MESH:D001930
P18510,MESH:D010146
P18510,MESH:D005076
P18510,MESH:D011507
P60568,MESH:D014625
P60568,MESH:D009362
P60568,MESH:D007970
P60568,MESH:D005909
P60568,MESH:D018365
P60568,MESH:D009369
P60568,MESH:D008175
P60568,MESH:D008113
P60568,MESH:D000740
P60568,MESH:D001749
P60568,MESH:D008545
P60568,MESH:D009374
P60568,MESH:D010146
P60568,MESH:D007680
P60568,MESH:D000163
P60568,MESH:D007938
P08700,MESH:D013921
P08700,MESH:D007970
P08700,MESH:D064420
P08700,MESH:D000740
P05112,MESH:D014380
P05112,MESH:D001169
P05112,MESH:D003092
P05112,MESH:D056486
P05112,MESH:D015431
P05231,MESH:D010523
P05231,MESH:D056486
P05231,MESH:D000647
P05231,MESH:D011471
P05231,MESH:D058186
P08887,MESH:D001172
P13232,MESH:D006943
P13232,MESH:D007333
P13232,MESH:D009765
P13232,MESH:D015430
P13232,MESH:D018149
P10145,MESH:D013274
P10145,MESH:D006528
P22301,MESH:D001169
P22301,MESH:D009102
P22301,MESH:D015431
P22301,MESH:D006930
P22301,MESH:D003092
P22301,MESH:D008106
P22301,MESH:D018805
Q13651,MESH:D007898
P20809,MESH:D056486
P20809,MESH:D006470
P20809,MESH:D003556
P20809,MESH:D004487
P20809,MESH:D008107
P29459,MESH:D009374
P29459,MESH:D005910
P29459,MESH:D008113
P29460,MESH:D005910
P29460,MESH:D008113
P29460,MESH:D009374
P35225,MESH:D001169
Q14116,MESH:D005921
Q14116,MESH:D009369
Q13418,MESH:D004827
P02778,MESH:D056486
P01308,MESH:D008106
P01308,MESH:D018487
P01308,MESH:D008569
P01308,MESH:D014693
P01308,MESH:D001745
P01308,MESH:D052177
P01308,MESH:D006973
P01308,MESH:D010243
P01308,MESH:C536801
P01308,MESH:D003924
P01308,MESH:D020267
P01308,MESH:D007022
P01308,MESH:D006943
P01308,MESH:D006947
P01308,MESH:D003928
P01308,MESH:D019965
P01308,MESH:D003922
P01308,MESH:D009436
P01308,MESH:D016883
P01308,MESH:D003920
P01308,MESH:D006323
P01308,MESH:D058065
Q92835,MESH:D015427
P11215,MESH:D009410
Q9BY32,MESH:D000743
O60674,MESH:D007249
P17535,MESH:D019970
P14923,MESH:D054318
P27701,MESH:D009361
P27701,MESH:D009362
P48050,MESH:D009410
P48050,MESH:D010300
P48544,MESH:D012804
P48544,MESH:D006327
O00180,MESH:D006965
P35968,MESH:D010190
P35968,MESH:D015179
Q15726,MESH:D000077195
Q15726,MESH:D008207
P06870,MESH:D003928
P06870,MESH:D058186
P06870,MESH:D058065
P06870,MESH:D005355
P06870,MESH:D009203
P06870,MESH:D006973
P01042,MESH:D003875
P01042,MESH:D015428
P01042,MESH:D008106
P01042,MESH:D058186
P01042,MESH:D001145
P05787,MESH:D008103
P05783,MESH:D008103
Q16787,MESH:D014947
Q13751,MESH:D014947
P11047,MESH:D005911
P11047,MESH:D009410
P11047,MESH:D020879
Q13753,MESH:D014947
P80188,MESH:D009369
P01130,MESH:D050197
O14960,MESH:D009374
O14960,MESH:D018827
O14960,MESH:D009362
O14960,MESH:D008175
P41159,MESH:D009410
P41159,MESH:D009765
P41159,MESH:D007249
P41159,MESH:D007333
P41159,MESH:D013276
P41159,MESH:D015430
P41159,MESH:D006963
P41159,MESH:D003924
P41159,MESH:D009767
P41159,MESH:D007006
P41159,MESH:D019226
P41159,MESH:D012640
P41159,MESH:D000544
O95202,MESH:D006528
P09382,MESH:D009393
P17931,MESH:D009393
O00182,MESH:D009393
P01229,MESH:D001919
P01229,MESH:D007006
P38571,MESH:D052556
P06858,MESH:D006526
P06858,MESH:D015228
P02788,MESH:D006471
P02788,MESH:D009369
P02788,MESH:D006973
P02788,MESH:D002181
P02788,MESH:D020345
P02788,MESH:D003093
P02788,MESH:D007592
P02788,MESH:D047928
P02788,MESH:D002180
P02788,MESH:D003110
P02788,MESH:D008113
P02788,MESH:D002252
P02788,MESH:D007249
P02788,MESH:D014947
P02788,MESH:D010024
P02788,MESH:D003967
P02788,MESH:D056486
P02788,MESH:D015431
P51884,MESH:D014947
Q99717,MESH:D003924
O15105,MESH:D011658
O15105,MESH:C537171
P10636,MESH:D001259
P04201,MESH:D013927
Q9NR56,MESH:D009222
P43121,MESH:D009103
P43121,MESH:D020274
P43121,MESH:D020078
P49736,MESH:D003110
P21583,MESH:D064420
P16455,MESH:D009336
P14174,MESH:D018805
P14174,MESH:D003092
P03956,MESH:D009798
P03956,MESH:D008106
P08254,MESH:D054990
P22894,MESH:D008106
P22894,MESH:D008545
P14780,MESH:D002543
P14780,MESH:D001929
P45452,MESH:D008106
P02795,MESH:D006331
P02795,MESH:D006332
P02795,MESH:D011471
P00395,MESH:D006984
P42898,MESH:D020138
P15941,MESH:D002471
P20591,MESH:D005585
P01106,MESH:D005234
P12524,MESH:D055752
Q16236,MESH:D055371
Q16236,MESH:D000690
Q16236,MESH:D019457
Q16236,MESH:D064420
Q16236,MESH:D002779
Q16236,MESH:D008103
Q16236,MESH:D006965
Q16236,MESH:D004646
Q16236,MESH:D003928
Q16236,MESH:D004195
Q16236,MESH:D006333
Q16236,MESH:D008106
Q16236,MESH:D020258
Q16236,MESH:D020257
Q16236,MESH:D056486
Q16236,MESH:D057772
Q16236,MESH:D007674
Q16236,MESH:D018487
Q16236,MESH:D048629
Q16236,MESH:D009336
P19838,MESH:D008107
P19838,MESH:D002545
P19838,MESH:D002471
P25963,MESH:D006528
P25963,MESH:D010190
P01138,MESH:D009422
P01138,MESH:D019954
P01138,MESH:D000647
P01138,MESH:D055370
P01138,MESH:D003320
P01138,MESH:D019636
P01138,MESH:D020244
P01138,MESH:D009410
P01138,MESH:D020734
P01138,MESH:D012883
P08138,MESH:D011471
P22392,MESH:D010051
P35228,MESH:D007035
P35228,MESH:D028361
P35228,MESH:D015428
P35228,MESH:D012555
P35228,MESH:D008106
P29474,MESH:D006332
P29474,MESH:D006946
P29474,MESH:D015428
P29474,MESH:D006978
P29474,MESH:D006973
P29474,MESH:D011654
P29474,MESH:D006975
P29474,MESH:D018879
P29474,MESH:D001161
P29474,MESH:D007511
P29474,MESH:D001281
P29474,MESH:D017180
P29474,MESH:D007333
P29474,MESH:D007172
P29474,MESH:D050197
P29474,MESH:D017202
P46531,MESH:D056486
P01303,MESH:D019954
P01303,MESH:D004833
P01303,MESH:D001008
P01303,MESH:D004827
P01303,MESH:D015508
P01303,MESH:D009127
P01303,MESH:D012640
P01303,MESH:D003866
O15118,MESH:D050197
O60500,MESH:D011507
P01160,MESH:D008545
P01160,MESH:D006973
P01160,MESH:D000230
P01160,MESH:D058186
P01160,MESH:D008175
P01160,MESH:D011471
P01160,MESH:D009203
P01160,MESH:D012878
P01160,MESH:D018288
P01160,MESH:D009362
P01160,MESH:D010146
P16860,MESH:D006333
P16860,MESH:D001930
P16860,MESH:D006973
P16860,MESH:D007249
P16860,MESH:D004417
P16860,MESH:D010146
P16860,MESH:D002311
P16860,MESH:D002543
P23582,MESH:D006948
P16066,MESH:D010146
P25929,MESH:D001008
P25929,MESH:D014098
P49146,MESH:D004827
P49146,MESH:D004833
P67809,MESH:D008106
P20783,MESH:D003929
P20783,MESH:D006930
P20783,MESH:D009410
P20783,MESH:D034381
P34130,MESH:D009410
P04629,MESH:D055370
P30990,MESH:D006948
P30990,MESH:D009127
P30990,MESH:D002375
P30990,MESH:D001919
P30989,MESH:D010146
